FLEX Test #,FLEX Identifier,Test Date,Test GMT,Fuel,Ambient pressure; mmHg,O initial ambient composition; mole fraction,N initial ambient composition; mole fraction,CO initial ambient composition; mole fraction,He initial ambient composition; mole fraction,Droplet initial diameter; mm,Visible flame extinction diameter; mm,Burning rate; mm,Burn time; s,Test end
37,220R001,1/7/2010,19:08:46,Methanol,534.3,0.34,0.66,0,0,3.31,,0.72,10.7,Disruption
38,220R002,1/7/2010,19:20:38,Methanol,534.4,0.34,0.66,0,0,3.59,,0.71,15.3,Disruption
39,224F001,1/7/2010,21:51:19,Heptane,534.9,0.34,0.66,0,0,2.91,0,0.8,9.9,Disruption
40,219R001,1/8/2010,5:02:52,Methanol,535.1,0.3,0.7,0,0,3.77,–,0.62,19.2,Disruption
41,219F001,1/8/2010,4:41:55,Methanol,534.3,0.3,0.7,0,0,3.35,–,0.65,14.1,Disruption
42,223F001,1/8/2010,1:02:04,Heptane,535,0.3,0.7,0,0,2.92,–,0.58,11.3,Disruption
43,223F002,1/8/2010,3:16:16,Heptane,534.9,0.3,0.7,0,0,2.97,0,0.78,11.4,Disruption
44,206F001,1/11/2010,10:33:22,Methanol,766.8,0.3,0.7,0,0,3.49,–,0.63,16.6,Disruption
45,206R001,1/11/2010,10:54:25,Methanol,768.3,0.3,0.7,0,0,2.42,1.01,0.73,6.6,Extinction
46,205R001,1/12/2010,13:14:25,Methanol,769.5,0.21,0.79,0,0,2.78,1.08,0.54,13.1,Disruption
47,209F001,1/12/2010,15:48:17,Heptane,770.1,0.21,0.79,0,0,3.36,–,0.5,17.1,Completion
48,205F001,1/12/2010,12:14:55,Methanol,768.7,0.21,0.79,0,0,3.66,–,0.27,23.5,Disruption
49,209F003,1/19/2010,9:09:16,Heptane,764.9,0.21,0.79,0,0,3.46,2.78,0.59,8.6,Extinction
50,209F004,1/19/2010,14:08:17,Heptane,770.1,0.21,0.79,0,0,3.57,2.98,0.52,8.4,Extinction
51,209F005,1/19/2010,16:38:35,Heptane,771.4,0.21,0.79,0,0,2.41,0,0.65,8.2,Completion
52,210F002,1/11/2010,13:46:44,Heptane,771.1,0.3,0.7,0,0,3.53,0,0.7,18.3,Disruption
53,209F002,1/12/2010,16:29:37,Heptane,770.2,0.21,0.79,0,0,,,,18.5,Disruption
54,190F003,1/29/2010,11:27:01,Methanol,541.4,0.2,0.8,0,0,3.56,,0.41,29,Extinction
55,218F001,1/29/2010,16:06:50,Methanol,542.6,0.2,0.8,0,0,3.37,2.39,0.46,20.5,Disruption
56,194F001,1/29/2010,19:13:22,Heptane,544.1,0.2,0.79,0,0,3.56,3.04,0.44,7.9,Completion
57,303F001,1/29/2010,19:50:16,Heptane,544.4,0.2,0.79,0,0,3.1,2.49,0.54,6.8,Extinction
58,176F001,2/4/2010,2:32:01,Methanol,773.3,0.18,0.82,0,0,3.69,,0.42,29.1,Extinction
59,176R001,2/4/2010,0:26:28,Methanol,769.2,0.18,0.82,0,0,2.93,1.39,0.43,17.7,Extinction
60,204F001,2/4/2010,3:26:05,Methanol,773.7,0.18,0.82,0,0,3.43,,0.45,23.2,Extinction
61,204R001,2/4/2010,3:52:39,Methanol,774.1,0.18,0.82,0,0,3.68,2,0.41,25.7,Extinction
